Frequency (Hz)	Level (dB)
10.766602	-66.824921
21.533203	-65.585297
32.299805	-64.768265
43.066406	-62.638363
53.833008	-62.630314
64.599609	-61.637375
75.366211	-61.469173
86.132812	-61.379707
96.899414	-61.932781
107.666016	-61.911587
118.432617	-62.804440
129.199219	-63.580139
139.965820	-64.014130
150.732422	-63.607632
161.499023	-62.215202
172.265625	-60.399265
183.032227	-58.161205
193.798828	-55.410576
204.565430	-52.512592
215.332031	-50.756634
226.098633	-51.312920
236.865234	-54.141949
247.631836	-56.879196
258.398438	-59.899387
269.165039	-61.948227
279.931641	-63.647293
290.698242	-64.913399
301.464844	-65.960236
312.231445	-66.600487
322.998047	-67.039398
333.764648	-66.509750
344.531250	-65.602280
355.297852	-64.276054
366.064453	-63.065163
376.831055	-61.626991
387.597656	-59.712395
398.364258	-57.411690
409.130859	-54.245121
419.897461	-51.322762
430.664062	-50.664165
441.430664	-52.827103
452.197266	-56.108284
462.963867	-58.672153
473.730469	-60.644043
484.497070	-62.158775
495.263672	-63.676880
506.030273	-64.929871
516.796875	-65.434517
527.563477	-65.905830
538.330078	-66.037628
549.096680	-66.126373
559.863281	-65.789009
570.629883	-64.541962
581.396484	-63.101902
592.163086	-61.321461
602.929688	-59.142761
613.696289	-56.151958
624.462891	-52.597313
635.229492	-49.695438
645.996094	-49.943062
656.762695	-53.333538
667.529297	-56.794518
678.295898	-59.537148
689.062500	-61.643097
699.829102	-63.243862
710.595703	-64.417000
721.362305	-64.925591
732.128906	-65.494217
742.895508	-66.070160
753.662109	-65.997116
764.428711	-65.569923
775.195312	-64.987152
785.961914	-64.120911
796.728516	-62.647499
807.495117	-60.603367
818.261719	-58.360397
829.028320	-55.263683
839.794922	-51.252804
850.561523	-49.073345
861.328125	-50.573109
872.094727	-54.403908
882.861328	-57.794243
893.627930	-60.147606
904.394531	-61.724880
915.161133	-62.840240
925.927734	-64.150581
936.694336	-64.803513
947.460938	-65.209038
958.227539	-65.084854
968.994141	-64.746071
979.760742	-64.294884
990.527344	-63.555111
1001.293945	-62.771229
1012.060547	-61.270275
1022.827148	-59.198654
1033.593750	-56.873257
1044.360352	-53.300442
1055.126953	-49.668285
1065.893555	-48.692867
1076.660156	-51.204075
1087.426758	-55.110271
1098.193359	-58.164501
1108.959961	-60.198723
1119.726562	-62.001091
1130.493164	-62.941902
1141.259766	-63.606968
1152.026367	-64.282806
1162.792969	-64.472488
1173.559570	-64.494087
1184.326172	-64.544380
1195.092773	-63.567047
1205.859375	-62.696182
1216.625977	-61.519726
1227.392578	-60.280140
1238.159180	-58.140369
1248.925781	-55.206692
1259.692383	-51.224487
1270.458984	-48.401169
1281.225586	-48.831608
1291.992188	-52.116631
1302.758789	-55.727077
1313.525391	-58.010628
1324.291992	-59.630379
1335.058594	-60.811951
1345.825195	-61.997612
1356.591797	-62.933670
1367.358398	-63.068928
1378.125000	-63.250214
1388.891602	-62.864250
1399.658203	-62.302200
1410.424805	-61.721035
1421.191406	-60.994411
1431.958008	-59.563454
1442.724609	-58.007603
1453.491211	-55.910053
1464.257812	-52.386166
1475.024414	-48.000172
1485.791016	-46.437916
1496.557617	-48.493721
1507.324219	-52.453041
1518.090820	-55.689800
1528.857422	-57.658390
1539.624023	-59.015438
1550.390625	-59.981457
1561.157227	-60.943420
1571.923828	-61.777111
1582.690430	-61.913319
1593.457031	-61.959225
1604.223633	-61.603870
1614.990234	-61.325130
1625.756836	-60.571854
1636.523438	-58.998394
1647.290039	-57.464874
1658.056641	-56.059814
1668.823242	-53.488800
1679.589844	-49.695763
1690.356445	-46.143391
1701.123047	-45.814953
1711.889648	-48.904537
1722.656250	-52.504635
1733.422852	-55.122555
1744.189453	-56.940750
1754.956055	-58.338123
1765.722656	-59.255718
1776.489258	-59.678783
1787.255859	-60.254513
1798.022461	-60.483662
1808.789062	-60.404942
1819.555664	-60.146847
1830.322266	-59.230045
1841.088867	-58.514023
1851.855469	-57.517849
1862.622070	-55.813663
1873.388672	-53.575573
1884.155273	-50.424843
1894.921875	-46.705811
1905.688477	-44.304970
1916.455078	-45.419556
1927.221680	-48.998356
1937.988281	-52.316219
1948.754883	-54.351173
1959.521484	-55.761612
1970.288086	-56.914974
1981.054688	-57.746994
1991.821289	-58.246822
2002.587891	-58.696865
2013.354492	-58.539810
2024.121094	-58.344067
2034.887695	-58.242176
2045.654297	-57.356655
2056.420898	-56.283043
2067.187500	-54.984650
2077.954102	-53.338753
2088.720703	-51.308563
2099.487305	-47.977825
2110.253906	-44.735081
2121.020508	-43.692535
2131.787109	-45.652195
2142.553711	-49.008896
2153.320312	-51.698330
2164.086914	-53.557983
2174.853516	-55.079086
2185.620117	-56.057987
2196.386719	-56.645561
2207.153320	-57.097263
2217.919922	-57.300415
2228.686523	-57.425083
2239.453125	-57.160393
2250.219727	-56.606743
2260.986328	-56.173157
2271.752930	-55.303055
2282.519531	-53.427116
2293.286133	-51.746277
2304.052734	-49.295269
2314.819336	-45.997356
2325.585938	-43.598118
2336.352539	-43.524418
2347.119141	-46.011433
2357.885742	-48.909801
2368.652344	-51.322613
2379.418945	-52.807293
2390.185547	-54.175541
2400.952148	-54.975155
2411.718750	-55.557983
2422.485352	-56.153709
2433.251953	-55.970551
2444.018555	-55.998280
2454.785156	-55.603786
2465.551758	-54.817944
2476.318359	-53.856728
2487.084961	-52.878757
2497.851562	-51.336964
2508.618164	-49.331371
2519.384766	-46.932419
2530.151367	-44.398140
2540.917969	-42.338768
2551.684570	-42.777710
2562.451172	-45.236946
2573.217773	-47.608311
2583.984375	-49.952667
2594.750977	-51.679314
2605.517578	-52.657967
2616.284180	-53.658909
2627.050781	-53.808804
2637.817383	-54.084904
2648.583984	-54.282509
2659.350586	-53.913780
2670.117188	-53.979946
2680.883789	-53.399620
2691.650391	-52.279362
2702.416992	-50.870762
2713.183594	-49.472359
2723.950195	-47.513962
2734.716797	-45.112305
2745.483398	-42.262367
2756.250000	-41.107513
2767.016602	-42.347214
2777.783203	-44.924847
2788.549805	-47.335587
2799.316406	-48.990963
2810.083008	-50.507488
2820.849609	-51.683823
2831.616211	-52.167072
2842.382812	-52.850895
2853.149414	-53.374905
2863.916016	-53.172894
2874.682617	-52.668648
