Frequency (Hz)	Level (dB)
10.766602	-66.423729
21.533203	-64.382156
32.299805	-64.073860
43.066406	-62.044704
53.833008	-61.373398
64.599609	-60.008659
75.366211	-61.535042
86.132812	-61.592163
96.899414	-63.392483
107.666016	-63.492805
118.432617	-64.711327
129.199219	-65.080658
139.965820	-65.659164
150.732422	-65.596283
161.499023	-66.624138
172.265625	-66.550461
183.032227	-67.182327
193.798828	-66.929008
204.565430	-65.781364
215.332031	-65.028282
226.098633	-64.304359
236.865234	-62.617455
247.631836	-60.597218
258.398438	-58.590588
269.165039	-57.219501
279.931641	-57.032959
290.698242	-57.442730
301.464844	-58.629910
312.231445	-60.803947
322.998047	-62.513725
333.764648	-64.540337
344.531250	-65.934990
355.297852	-66.511948
366.064453	-67.309052
376.831055	-68.162148
387.597656	-68.906708
398.364258	-69.465225
409.130859	-69.442482
419.897461	-69.103882
430.664062	-68.376625
441.430664	-68.018394
452.197266	-67.847672
462.963867	-67.240913
473.730469	-66.473747
484.497070	-65.554855
495.263672	-64.508759
506.030273	-63.208893
516.796875	-61.584278
527.563477	-59.607407
538.330078	-57.514503
549.096680	-56.096241
559.863281	-56.682560
570.629883	-58.668293
581.396484	-60.943256
592.163086	-62.655003
602.929688	-64.071068
613.696289	-65.007027
624.462891	-65.731422
635.229492	-66.355591
645.996094	-67.066147
656.762695	-67.957680
667.529297	-68.458496
678.295898	-68.598778
689.062500	-68.972153
699.829102	-69.083000
710.595703	-68.751617
721.362305	-68.424019
732.128906	-67.711166
742.895508	-67.122826
753.662109	-66.145264
764.428711	-64.734589
775.195312	-63.382915
785.961914	-61.797470
796.728516	-59.431770
807.495117	-56.343742
818.261719	-54.192467
829.028320	-54.285061
839.794922	-56.148262
850.561523	-58.774872
861.328125	-61.385181
872.094727	-63.271790
882.861328	-64.984039
893.627930	-66.239708
904.394531	-66.831657
915.161133	-67.468704
925.927734	-68.335701
936.694336	-68.390228
947.460938	-68.524895
958.227539	-68.479156
968.994141	-68.396683
979.760742	-68.246391
990.527344	-67.964676
1001.293945	-67.622215
1012.060547	-67.025269
1022.827148	-66.074165
1033.593750	-65.271255
1044.360352	-63.720577
1055.126953	-61.893478
1065.893555	-58.942413
1076.660156	-55.809700
1087.426758	-53.196671
1098.193359	-52.261463
1108.959961	-53.948479
1119.726562	-57.162476
1130.493164	-59.717525
1141.259766	-61.581036
1152.026367	-63.163288
1162.792969	-64.487160
1173.559570	-65.405891
1184.326172	-66.314331
1195.092773	-66.497589
1205.859375	-66.807381
1216.625977	-67.123589
1227.392578	-67.551544
1238.159180	-67.551857
1248.925781	-67.249245
1259.692383	-66.846313
1270.458984	-66.599922
1281.225586	-65.645340
1291.992188	-64.807999
1302.758789	-63.718185
1313.525391	-62.059612
1324.291992	-60.375072
1335.058594	-58.067638
1345.825195	-55.477829
1356.591797	-52.193798
1367.358398	-50.324780
1378.125000	-51.916916
1388.891602	-55.051029
1399.658203	-57.720425
1410.424805	-60.099468
1421.191406	-61.859795
1431.958008	-62.965584
1442.724609	-64.155617
1453.491211	-65.134743
1464.257812	-65.692009
1475.024414	-65.902985
1485.791016	-65.938103
1496.557617	-65.987617
1507.324219	-66.060272
1518.090820	-66.015427
1528.857422	-65.398605
1539.624023	-64.838188
1550.390625	-64.026474
1561.157227	-63.375370
1571.923828	-62.764011
1582.690430	-61.392883
1593.457031	-59.770592
1604.223633	-57.493282
1614.990234	-55.010719
1625.756836	-51.332832
1636.523438	-48.690754
1647.290039	-49.207321
1658.056641	-52.680851
1668.823242	-55.947517
1679.589844	-58.412079
1690.356445	-60.073593
1701.123047	-61.344921
1711.889648	-62.139324
1722.656250	-63.018753
1733.422852	-63.648678
1744.189453	-64.053513
1754.956055	-64.395264
1765.722656	-64.462410
1776.489258	-64.260681
1787.255859	-64.358902
1798.022461	-64.174103
1808.789062	-63.801163
1819.555664	-63.343521
1830.322266	-62.242138
1841.088867	-61.438881
1851.855469	-60.395756
1862.622070	-58.750637
1873.388672	-56.692078
1884.155273	-53.924393
1894.921875	-50.612896
1905.688477	-47.757423
1916.455078	-47.786354
1927.221680	-50.595261
1937.988281	-53.938694
1948.754883	-56.238777
1959.521484	-57.877518
1970.288086	-59.272213
1981.054688	-60.435707
1991.821289	-61.225731
2002.587891	-62.010670
2013.354492	-62.243206
2024.121094	-62.452332
2034.887695	-62.964611
2045.654297	-62.784599
2056.420898	-62.522820
2067.187500	-62.220123
2077.954102	-61.871914
2088.720703	-61.593372
2099.487305	-60.767876
2110.253906	-59.650356
2121.020508	-58.801250
2131.787109	-57.234341
2142.553711	-55.620922
2153.320312	-53.080971
2164.086914	-49.854572
2174.853516	-46.924362
2185.620117	-45.784794
2196.386719	-47.597630
2207.153320	-50.770897
2217.919922	-53.466553
2228.686523	-55.682037
2239.453125	-57.216045
2250.219727	-58.309410
2260.986328	-59.425507
2271.752930	-60.402317
2282.519531	-60.369442
2293.286133	-60.731693
2304.052734	-61.089149
2314.819336	-60.899490
2325.585938	-60.931232
2336.352539	-60.764370
